Participant_ID,Male_1,Trial_Number,Money_Transfered,RT_Investment,RT_Evaluation,RT_Feedback,Eval,Fair,Happy,Amount_Returned,Payback_Shuffle,Order_Shuffle,Final_money_subj,Final_money_trustee,Eval_self,RT_eval_self,Eval_other,RT_eval_other,group
2,1,29,2,3.4620265,3.8031691,4.5332267,9,0,0,2,35,2,9,4,0,0,0,0,case
2,1,30,6,4.6036671,3.930715,3.1386774,7,0,0,8,44,2,11,10,0,0,0,0,case
2,1,31,2,5.2145395,3.5922949,3.431193,3,0,0,1,13,2,8,5,0,0,0,0,case
2,1,32,8,3.6558548,3.0808197,5.9445172,7,0,0,10,42,2,11,14,0,0,0,0,case
2,1,33,4,5.2294925,6.1830347,31.6473387,5,0,0,2,15,2,7,10,0,0,0,0,case
2,1,34,4,20.4596095,1.9708098,5.8432299,3,0,0,1,7,2,6,11,0,0,0,0,case
2,1,35,6,3.9352394,3.1062647,2.7726387,9,0,0,6,33,2,9,12,0,0,0,0,case
2,1,36,3,3.3343992,2.6972975,3.9261413,4,0,0,2,20,2,8,7,0,0,0,0,case
2,1,37,7,8.4368278,3.1704244,1.6437288,2,0,0,2,11,2,4,19,0,0,0,0,case
2,1,38,4,4.5733161,4.730511,2.2892618,3,0,0,1,9,2,6,11,0,0,0,0,case
2,1,39,6,26.0031187,4.326163,13.6459894,7,0,0,6,31,2,9,12,0,0,0,0,case
2,1,40,2,3.5370141,3.2424042,2.1933476,3,0,0,0,2,2,7,6,0,0,0,0,case
2,1,41,5,6.3618315,5.3974629,7.4548669,2,0,0,1,4,2,5,14,0,0,0,0,case
2,1,42,8,5.9350997,1.5860778,1.9393379,7,0,0,9,37,2,10,15,7,22.4698336,7,58.356193,case
2,1,43,6,6.8852856,1.8262497,13.8473288,7,1,0,8,47,3,11,10,0,0,0,0,case
2,1,44,4,2.7878629,2.9845382,1.7515328,6,1,0,5,45,3,10,7,0,0,0,0,case
2,1,45,3,2.3242641,1.7480441,2.6193412,6,1,0,2,25,3,8,7,0,0,0,0,case
2,1,46,7,2.0498619,6.7015685,3.1480719,8,1,0,12,58,3,14,9,0,0,0,0,case
2,1,47,5,2.88013,1.5931701,2.2896835,9,1,0,9,63,3,13,6,0,0,0,0,case
2,1,48,3,2.9823378,6.3027667,30.4532075,5,1,0,4,39,3,10,5,0,0,0,0,case
2,1,49,1,3.4701023,6.712777,2.4415471,7,1,0,2,54,3,10,1,0,0,0,0,case
2,1,50,6,6.0662658,3.0453864,5.9092655,5,1,0,5,30,3,8,13,0,0,0,0,case
2,1,51,3,3.2669174,1.7441567,3.2655595,7,1,0,3,28,3,9,6,0,0,0,0,case
2,1,52,1,2.1970136,3.9262099,3.1041584,8,1,0,1,49,3,9,2,0,0,0,0,case
2,1,53,2,2.1952704,1.3680517,3.1304627,8,1,0,4,65,3,11,2,0,0,0,0,case
2,1,54,7,2.3402488,4.1725659,6.2066341,8,1,0,12,56,3,14,9,0,0,0,0,case
2,1,55,4,3.0267844,5.6849072,6.1326678,6,1,0,4,32,3,9,8,0,0,0,0,case
2,1,56,6,9.6279706,2.8962892,4.0252553,7,1,0,8,43,3,11,10,0,0,0,0,case
2,1,57,5,2.0765649,10.6719757,2.3181111,7,1,0,6,41,3,10,9,0,0,0,0,case
2,1,58,4,11.8675392,3.5677836,1.723,8,1,0,4,34,3,9,8,0,0,0,0,case
2,1,59,3,2.7474427,39.0964108,3.4609218,7,1,0,5,60,3,11,4,0,0,0,0,case
2,1,60,3,3.6800514,4.1336497,2.1583612,8,1,0,3,36,3,9,6,0,0,0,0,case
2,1,61,4,3.8155414,0.7906358,4.8048559,6,1,0,3,21,3,8,9,0,0,0,0,case
2,1,62,2,2.3718582,1.9339089,4.4115037,5,1,0,1,23,3,8,5,0,0,0,0,case
2,1,63,7,4.0881681,3.4242225,5.0416258,9,1,0,11,52,3,13,10,7,14.1435116,6,30.7130996,case
2,1,64,4,6.0879395,3.959689,4.2871257,3,0,1,1,9,4,6,11,0,0,0,0,case
2,1,65,4,2.0503757,4.2793434,4.5025474,2,0,1,1,11,4,6,11,0,0,0,0,case
2,1,66,1,1.93526,2.8099537,2.1716044,8,0,1,1,28,4,9,2,0,0,0,0,case
2,1,67,6,2.0902582,5.1767817,2.9040979,4,0,1,4,22,4,7,14,0,0,0,0,case
2,1,68,3,3.8423742,4.6823044,3.3018217,7,0,1,3,31,4,9,6,0,0,0,0,case
2,1,69,5,1.9108098,3.3522476,5.340508,3,0,1,3,18,4,7,12,0,0,0,0,case
2,1,70,3,2.1936708,6.1751034,4.1959931,2,0,1,1,13,4,7,8,0,0,0,0,case
2,1,71,4,1.8339347,6.289314,5.447398,5,0,1,3,26,4,8,9,0,0,0,0,case
2,1,72,7,2.7111513,1.232563,6.3526358,7,0,1,8,37,4,10,13,0,0,0,0,case
2,1,73,5,1.6224328,4.676396,3.2141318,9,0,1,5,35,4,9,10,0,0,0,0,case
2,1,74,5,4.2019379,1.9514664,3.5005105,1,0,1,1,7,4,5,14,0,0,0,0,case
2,1,75,3,2.0274804,3.7852199,7.6259595,6,0,1,4,44,4,10,5,0,0,0,0,case
2,1,76,7,4.4629495,3.26945,4.9797541,8,0,1,9,42,4,11,12,0,0,0,0,case
2,1,77,6,1.9631103,3.8647841,5.7722523,7,0,1,6,33,4,9,12,0,0,0,0,case
